#
# Alignment file for: SU back
# Ref channels: 
#  1) Det1 front 8
#  2) Det2 front 8
#
# strip  shift  std
 1  -358.569  30.6878
 2  -296.557  31.2517
 3  -320.482  28.9304
 4  -355.492  24.9408
 5  -330.647  25.7886
 6  -322.157  27.8188
 7  -283.517  26.2532
 8  -379.484  27.5816
 9  -328.208  23.954
 10  -329.264  25.1789
 11  -404.76  36.1286
 12  -366.747  25.5171
 13  -343.382  25.1391
 14  -363.551  26.9595
 15  -345.334  29.5193
 16  -309.468  24.4104
 17  -245.689  27.1837
 18  -265.752  31.2763
 19  -233.368  28.373
 20  -256.889  27.1063
 21  -278.288  32.3302
 22  -315.425  29.5485
 23  -269.471  32.5006
 24  -294.051  24.8617
#
# Time unit: 100 ps
