#
# Alignment file for: SD back
# Ref channels: 
#  1) Det1 front 8
#  2) Det2 front 8
#
# strip  shift  std
 1  0  -1
 2  0  -1
 3  0  -1
 4  0  -1
 5  0  -1
 6  0  -1
 7  -969.943  43.4673
 8  -995.287  40.1423
 9  -875.848  41.0427
 10  -960.389  45.5542
 11  -873.459  44.9332
 12  -925.723  46.267
 13  -959.554  47.346
 14  -883.775  46.3091
 15  -879.359  47.7834
 16  -886.023  48.5043
 17  -930.634  44.5652
 18  -970.53  45.5803
 19  -941.899  48.0955
 20  -962.299  50.644
 21  -920.095  50.9069
 22  -952.932  62.5976
 23  -994.567  55.269
 24  -1165.81  53.9118
#
# Time unit: 100 ps
